Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 10.08.2022	08:21:31.000 - 10.08.2022	17:23:49.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
10.08.2022	14:32:42.451	231.037	230.718	231.955	0.008	399.326	400.545	401.612	77.259	82.608	92.453	19.846	-57644.461	-3499.469	57750.586	50.021	0.274
10.08.2022	14:32:42.461	231.270	230.982	232.112	0.007	399.825	400.883	401.910	76.497	82.166	92.476	20.168	-57518.805	-3083.414	57601.391	50.026	0.069
10.08.2022	14:32:42.471	231.024	230.856	232.090	0.007	399.424	400.858	401.651	77.429	82.143	92.545	19.298	-58080.293	-3467.322	58183.699	50.026	0.080
10.08.2022	14:32:42.481	230.954	230.927	232.042	0.007	399.467	400.910	401.475	77.251	82.168	93.212	19.843	-57707.520	-3568.136	57817.727	50.024	0.080
10.08.2022	14:32:42.491	231.086	230.883	232.207	0.007	399.452	400.967	401.872	76.309	82.753	92.569	20.786	-57661.906	-3198.643	57750.555	50.029	0.141
10.08.2022	14:32:42.501	230.919	230.659	231.845	0.007	399.196	400.373	401.417	76.777	83.153	92.860	20.497	-58180.586	-3350.215	58276.961	50.025	0.154
10.08.2022	14:32:42.511	231.141	231.248	232.165	0.008	399.938	401.291	401.718	76.797	82.423	92.914	21.558	-57421.500	-3717.453	57541.707	50.026	0.031
10.08.2022	14:32:42.521	231.118	231.146	232.421	0.008	399.625	401.528	402.019	77.154	82.636	91.797	20.991	-57928.090	-3265.225	58020.039	50.031	-0.134
10.08.2022	14:32:42.531	231.008	230.687	231.931	0.007	399.257	400.502	401.578	77.132	82.830	92.594	19.651	-57773.172	-3530.222	57880.926	50.029	0.314
10.08.2022	14:32:42.541	231.249	230.955	232.094	0.007	399.758	400.854	401.891	76.676	82.610	92.666	20.169	-57725.836	-3199.793	57814.453	50.034	0.167
10.08.2022	14:32:42.551	230.987	230.792	232.032	0.007	399.322	400.753	401.584	77.544	82.642	92.648	19.447	-58156.043	-3445.460	58258.016	50.033	0.119
10.08.2022	14:32:42.561	230.932	230.850	231.965	0.007	399.374	400.757	401.415	77.479	82.262	93.141	19.490	-57711.656	-3682.192	57829.004	50.031	0.181
10.08.2022	14:32:42.571	231.078	230.846	232.181	0.007	399.406	400.910	401.853	76.555	82.460	92.521	20.293	-57588.199	-3240.590	57679.301	50.036	-0.109
10.08.2022	14:32:42.581	230.903	230.600	231.825	0.007	399.131	400.311	401.378	76.902	82.768	92.785	19.980	-58046.797	-3629.871	58160.180	50.031	0.121
10.08.2022	14:32:42.591	231.095	231.143	232.117	0.008	399.802	401.170	401.628	77.105	82.250	92.696	20.758	-57462.695	-3657.956	57579.008	50.033	0.002
10.08.2022	14:32:42.601	231.042	231.049	232.359	0.008	399.474	401.407	401.886	77.292	82.557	91.519	20.357	-57768.086	-3271.349	57860.637	50.036	-0.151
10.08.2022	14:32:42.611	230.933	230.615	231.904	0.007	399.126	400.439	401.470	77.141	82.479	92.443	19.205	-57682.352	-3489.371	57787.797	50.033	0.254
10.08.2022	14:32:42.621	231.181	230.856	232.062	0.007	399.611	400.745	401.801	76.384	81.980	92.718	19.916	-57396.781	-3078.749	57479.293	50.036	0.034
10.08.2022	14:32:42.631	230.917	230.710	231.999	0.007	399.194	400.660	401.484	77.114	81.886	92.347	19.130	-57776.125	-3496.381	57881.820	50.035	-0.009
10.08.2022	14:32:42.641	230.870	230.818	231.914	0.008	399.324	400.683	401.290	77.228	81.742	92.817	19.696	-57566.195	-3678.045	57683.574	50.032	0.103
10.08.2022	14:32:42.651	231.054	230.834	232.145	0.007	399.392	400.854	401.798	76.618	82.471	92.456	20.920	-57717.305	-3300.917	57811.621	50.035	-0.200
10.08.2022	14:32:42.661	230.915	230.623	231.813	0.007	399.162	400.300	401.399	76.820	83.127	92.765	20.979	-58016.938	-3791.750	58140.711	50.030	0.000
10.08.2022	14:32:42.671	231.135	231.225	232.138	0.007	399.909	401.250	401.689	76.903	82.775	92.552	21.452	-57566.051	-3926.056	57699.773	50.030	-0.116
10.08.2022	14:32:42.681	231.118	231.211	232.410	0.007	399.712	401.567	401.989	77.438	83.033	91.677	21.540	-57965.285	-4110.628	58110.855	50.034	-0.260
10.08.2022	14:32:42.691	231.016	230.758	231.915	0.008	399.378	400.529	401.542	77.513	83.200	92.568	20.749	-58000.547	-3691.158	58117.879	50.032	0.222
10.08.2022	14:32:42.701	231.270	230.936	232.050	0.008	399.801	400.755	401.874	77.003	82.383	92.742	20.628	-57576.563	-3206.989	57665.809	50.034	0.095
10.08.2022	14:32:42.711	231.020	230.832	232.038	0.007	399.414	400.781	401.601	78.001	82.349	92.654	19.482	-58404.367	-3428.872	58504.934	50.033	0.001
