Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 21.07.2022	07:37:46.000 - 21.07.2022	13:36:41.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
21.07.2022	11:26:15.000	231.133	231.318	231.743	0.005	400.217	401.112	400.986	48.437	47.556	46.987	3.877	-32646.885	5981.806	33190.375	50.000	0.157
21.07.2022	11:26:15.010	231.320	231.834	232.104	0.005	400.824	402.021	401.313	48.170	46.271	46.784	3.847	-31314.805	6076.094	31898.840	49.997	0.049
21.07.2022	11:26:15.020	231.229	231.676	232.276	0.005	400.445	402.086	401.496	48.237	46.947	45.820	3.900	-32520.691	6038.745	33076.605	49.999	-0.048
21.07.2022	11:26:15.030	231.174	231.493	231.955	0.005	400.355	401.533	401.169	48.720	47.416	46.945	3.632	-32290.766	5752.935	32799.234	50.003	0.303
21.07.2022	11:26:15.040	231.407	231.598	232.022	0.005	400.712	401.593	401.452	47.860	47.094	47.251	3.338	-32063.867	6559.490	32727.945	50.000	0.047
21.07.2022	11:26:15.050	231.105	231.380	231.782	0.005	400.243	401.235	400.964	48.675	47.550	46.928	3.303	-32592.180	6150.413	33167.418	50.004	0.045
21.07.2022	11:26:15.060	231.079	231.642	231.933	0.005	400.428	401.729	400.956	48.772	46.842	47.012	3.520	-31852.283	6478.208	32504.387	50.003	0.147
21.07.2022	11:26:15.070	231.200	231.476	232.076	0.005	400.293	401.632	401.357	47.865	47.406	46.595	3.915	-32130.604	6676.630	32816.965	50.000	-0.195
21.07.2022	11:26:15.080	231.033	231.204	231.618	0.005	400.042	400.891	400.795	48.604	47.904	47.127	3.877	-32660.168	6188.375	33241.277	50.003	0.001
21.07.2022	11:26:15.090	231.209	231.724	231.981	0.005	400.641	401.814	401.109	48.152	46.402	46.756	3.794	-31182.355	6460.932	31844.668	49.999	-0.060
21.07.2022	11:26:15.100	231.116	231.562	232.163	0.005	400.247	401.887	401.303	48.221	47.128	46.009	3.911	-32645.129	6321.367	33251.527	50.000	-0.155
21.07.2022	11:26:15.110	231.062	231.356	231.812	0.005	400.151	401.272	400.953	48.840	47.580	47.086	3.633	-32207.121	6113.409	32782.195	50.004	0.230
21.07.2022	11:26:15.120	231.307	231.505	231.922	0.005	400.548	401.430	401.272	47.766	46.977	47.082	3.420	-31826.293	6771.519	32538.689	50.000	0.002
21.07.2022	11:26:15.130	231.028	231.301	231.714	0.005	400.101	401.111	400.842	48.694	47.545	47.010	3.418	-32786.227	6237.314	33374.254	50.003	-0.036
21.07.2022	11:26:15.140	230.984	231.517	231.791	0.005	400.254	401.476	400.757	48.852	46.953	47.113	3.549	-31732.582	6530.332	32397.561	50.002	0.092
21.07.2022	11:26:15.150	231.106	231.387	231.984	0.007	400.135	401.477	401.194	47.719	47.348	46.426	3.922	-32019.539	6759.922	32725.334	50.000	-0.152
21.07.2022	11:26:15.160	230.981	231.171	231.592	0.007	399.960	400.854	400.724	48.744	47.876	47.182	3.908	-32824.742	6161.468	33398.012	50.002	0.002
21.07.2022	11:26:15.170	231.157	231.647	231.898	0.005	400.543	401.661	400.993	48.463	46.448	46.906	3.830	-31244.547	6461.232	31905.631	49.997	-0.160
21.07.2022	11:26:15.180	231.043	231.453	232.067	0.005	400.093	401.693	401.171	48.242	47.136	46.096	3.965	-32579.813	6501.683	33222.223	49.998	-0.178
21.07.2022	11:26:15.190	230.982	231.241	231.701	0.005	399.991	401.056	400.801	48.910	47.638	47.266	3.655	-32309.367	6379.834	32933.227	50.002	0.268
21.07.2022	11:26:15.200	231.232	231.358	231.767	0.005	400.381	401.124	401.093	48.003	47.075	47.237	3.415	-31815.641	6992.304	32574.949	49.997	-0.084
21.07.2022	11:26:15.210	230.977	231.207	231.614	0.005	399.990	400.919	400.721	48.874	47.525	47.054	3.502	-32750.852	6558.569	33401.094	49.998	-0.178
21.07.2022	11:26:15.220	230.976	231.481	231.772	0.005	400.217	401.416	400.744	49.050	46.905	47.342	3.640	-31827.500	6766.098	32538.744	49.996	-0.026
21.07.2022	11:26:15.230	231.132	231.352	231.962	0.005	400.142	401.397	401.216	47.992	47.395	46.646	3.962	-32126.303	6751.487	32828.066	49.992	-0.305
21.07.2022	11:26:15.240	231.009	231.168	231.584	0.005	399.993	400.826	400.746	48.729	47.826	47.148	3.943	-32630.766	6387.002	33249.973	49.994	-0.085
21.07.2022	11:26:15.250	231.223	231.707	231.975	0.005	400.645	401.777	401.125	48.366	46.432	46.920	3.888	-31361.199	6516.902	32031.154	49.990	-0.117
21.07.2022	11:26:15.260	231.163	231.557	232.170	0.005	400.293	401.861	401.367	48.226	47.103	46.046	3.994	-32467.535	6372.233	33086.949	49.991	-0.195
21.07.2022	11:26:15.270	231.134	231.394	231.856	0.005	400.255	401.325	401.064	48.753	47.341	47.093	3.674	-32217.168	6224.940	32813.043	49.994	0.180
21.07.2022	11:26:15.280	231.423	231.550	231.985	0.005	400.701	401.486	401.452	47.950	46.818	47.231	3.444	-31904.396	6726.945	32605.861	49.990	-0.021
21.07.2022	11:26:15.290	231.180	231.414	231.825	0.005	400.346	401.281	401.077	48.774	47.337	46.893	3.463	-32662.270	6116.530	33230.043	49.993	-0.045
21.07.2022	11:26:15.300	231.189	231.719	232.010	0.005	400.599	401.843	401.127	48.921	46.648	47.004	3.651	-31818.531	6332.881	32442.631	49.991	0.061
21.07.2022	11:26:15.310	231.349	231.591	232.204	0.005	400.527	401.827	401.609	47.929	47.193	46.534	3.958	-32161.836	6534.023	32818.852	49.989	-0.173
21.07.2022	11:26:15.320	231.218	231.392	231.823	0.005	400.358	401.236	401.138	48.459	47.608	47.033	3.936	-32495.691	6051.511	33054.359	49.992	0.051
21.07.2022	11:26:15.330	231.432	231.973	232.258	0.005	401.026	402.292	401.541	47.992	46.227	46.551	4.020	-31294.518	6011.643	31866.701	49.989	-0.026
21.07.2022	11:26:15.340	231.372	231.847	232.472	0.005	400.694	402.426	401.788	48.157	46.990	45.704	4.138	-32581.203	5782.541	33090.371	49.991	-0.069
21.07.2022	11:26:15.350	231.351	231.679	232.172	0.005	400.653	401.893	401.513	48.638	47.390	46.870	3.824	-32296.504	5521.058	32765.018	49.997	0.393
21.07.2022	11:26:15.360	231.637	231.868	232.327	0.005	401.114	402.126	401.912	47.557	46.651	46.894	3.575	-31778.875	5985.185	32337.584	49.995	0.201
21.07.2022	11:26:15.370	231.363	231.695	232.113	0.005	400.714	401.837	401.457	48.585	47.059	46.753	3.589	-32843.707	5490.229	33299.426	50.000	0.170
21.07.2022	11:26:15.380	231.313	231.919	232.211	0.005	400.854	402.235	401.390	48.682	46.500	46.858	3.921	-31692.311	5617.503	32186.314	50.002	0.335
21.07.2022	11:26:15.390	231.421	231.779	232.385	0.005	400.716	402.215	401.793	47.555	46.942	46.159	4.237	-32147.445	5849.679	32675.326	50.002	0.129
21.07.2022	11:26:15.400	231.240	231.537	231.956	0.005	400.469	401.549	401.230	48.486	47.523	46.771	4.169	-32668.441	5299.461	33095.488	50.008	0.334
21.07.2022	11:26:15.410	231.372	232.018	232.276	0.005	400.993	402.401	401.471	48.028	46.258	46.390	4.205	-31316.859	5449.019	31787.379	50.007	0.225
21.07.2022	11:26:15.420	231.230	231.820	232.427	0.005	400.521	402.426	401.590	47.962	46.912	45.646	4.213	-32555.291	5396.848	32999.590	50.012	0.170
21.07.2022	11:26:15.430	231.122	231.545	232.015	0.005	400.321	401.690	401.149	48.592	47.432	46.972	3.881	-32438.980	5228.945	32857.711	50.019	0.593
21.07.2022	11:26:15.440	231.313	231.604	232.031	0.005	400.603	401.666	401.353	47.681	46.900	47.142	3.567	-31898.396	5935.972	32446.010	50.018	0.336
