Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 13.10.2022	07:31:15.000 - 13.10.2022	17:28:18.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
13.10.2022	15:30:24.527	231.421	231.414	232.086	0.009	400.762	401.265	401.561	13.932	23.099	12.160	30.253	6362.686	-2318.437	6771.921	50.002	0.356
13.10.2022	15:30:24.537	231.348	231.508	232.032	0.009	400.818	401.347	401.367	13.817	23.629	11.870	30.567	6775.309	-2375.222	7179.588	50.004	0.531
13.10.2022	15:30:24.547	231.446	231.449	232.220	0.009	400.744	401.440	401.743	14.557	22.524	12.070	30.246	6385.395	-2507.095	6859.941	50.010	0.297
13.10.2022	15:30:24.557	231.283	231.135	231.825	0.009	400.427	400.718	401.270	13.684	22.504	11.574	29.720	5863.633	-2401.036	6336.179	50.009	0.420
13.10.2022	15:30:24.567	231.397	231.564	232.028	0.009	400.944	401.383	401.383	13.764	23.744	11.836	30.625	7085.533	-2561.840	7534.441	50.012	0.228
13.10.2022	15:30:24.577	231.307	231.469	232.210	0.009	400.613	401.547	401.542	13.435	22.793	12.894	30.063	5953.091	-2349.792	6400.063	50.017	0.066
13.10.2022	15:30:24.587	231.211	231.185	231.851	0.009	400.387	400.845	401.189	13.707	22.208	12.105	29.730	6155.596	-2567.275	6669.502	50.016	0.341
13.10.2022	15:30:24.597	231.443	231.416	232.152	0.009	400.791	401.325	401.631	15.372	22.666	14.750	32.945	6785.243	-3788.771	7771.377	50.020	0.433
13.10.2022	15:30:24.607	231.257	231.302	232.244	0.009	400.429	401.440	401.521	14.403	23.098	17.645	34.860	6042.803	-4100.152	7302.515	50.021	0.265
13.10.2022	15:30:24.617	231.158	231.329	231.950	0.009	400.467	401.183	401.103	13.420	23.086	14.923	32.288	6188.155	-2512.776	6678.870	50.021	0.013
13.10.2022	15:30:24.627	231.185	231.165	231.849	0.009	400.318	400.853	401.169	13.778	21.953	12.024	29.354	6408.179	-2572.270	6905.167	50.026	0.013
13.10.2022	15:30:24.637	231.016	230.866	231.521	0.009	399.981	400.225	400.753	13.158	22.275	11.488	29.113	5656.271	-2457.851	6167.206	50.023	0.262
13.10.2022	15:30:24.647	231.129	231.232	231.667	0.009	400.460	400.740	400.842	13.137	23.728	11.559	30.163	6986.056	-2592.391	7451.541	50.022	0.092
13.10.2022	15:30:24.657	231.020	231.071	231.818	0.009	400.057	400.805	400.976	12.894	22.780	12.535	29.774	5629.225	-2295.654	6079.326	50.024	-0.219
13.10.2022	15:30:24.667	230.934	230.729	231.471	0.009	399.764	400.041	400.689	13.377	21.918	11.632	29.435	5925.865	-2387.388	6388.701	50.019	0.062
13.10.2022	15:30:24.677	231.162	230.999	231.620	0.009	400.255	400.379	400.983	14.393	22.331	11.495	30.155	6480.254	-2373.794	6901.347	50.018	-0.163
13.10.2022	15:30:24.687	230.948	230.863	231.546	0.009	399.898	400.270	400.713	13.332	22.481	11.755	29.774	5825.208	-2475.902	6329.544	50.016	-0.275
13.10.2022	15:30:24.697	230.893	230.854	231.439	0.009	399.889	400.164	400.532	13.153	23.053	11.284	30.132	6140.513	-2233.510	6534.101	50.012	-0.140
