Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 03.11.2022	09:26:23.000 - 03.11.2022	16:11:22.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
03.11.2022	14:45:41.923	231.510	231.000	232.279	0.011	400.532	400.908	401.918	32.463	23.791	33.638	32.237	-11336.184	13204.992	17403.475	49.991	0.183
03.11.2022	14:45:41.933	231.358	230.787	231.902	0.011	400.328	400.306	401.437	32.829	24.008	35.192	32.280	-11662.420	12216.896	16889.777	49.994	0.213
03.11.2022	14:45:41.943	231.455	231.202	232.162	0.011	400.768	401.031	401.610	31.261	24.339	34.463	33.134	-9005.231	12560.581	15455.173	50.001	0.322
03.11.2022	14:45:41.953	231.244	230.921	232.106	0.010	400.223	400.787	401.450	32.711	23.729	33.628	31.966	-11818.918	13035.254	17595.586	50.009	0.510
03.11.2022	14:45:41.963	231.101	230.611	231.735	0.011	399.911	400.076	401.044	32.663	24.863	35.169	31.764	-10342.446	12935.268	16561.623	50.012	0.758
03.11.2022	14:45:41.973	231.148	230.595	231.715	0.011	399.972	399.992	401.088	32.146	24.982	34.450	31.777	-10002.994	13812.574	17054.240	50.018	0.554
03.11.2022	14:45:41.983	230.855	230.344	231.454	0.011	399.506	399.573	400.578	33.624	24.665	35.015	32.256	-11815.987	13059.947	17611.922	50.018	0.466
03.11.2022	14:45:41.993	230.807	230.456	231.498	0.010	399.548	399.777	400.521	32.559	25.152	35.465	33.080	-9966.233	12820.660	16238.692	50.019	0.314
03.11.2022	14:45:42.003	230.813	230.251	231.527	0.010	399.297	399.558	400.697	32.796	24.291	34.825	31.889	-11452.447	13496.873	17700.965	50.022	0.051
03.11.2022	14:45:42.013	230.721	230.094	231.230	0.011	399.184	399.081	400.340	33.274	24.272	36.180	32.251	-11942.941	12208.240	17078.496	50.017	0.158
03.11.2022	14:45:42.023	230.874	230.555	231.536	0.011	399.707	399.893	400.597	31.713	24.757	35.116	33.105	-9358.392	12825.945	15877.165	50.020	-0.083
03.11.2022	14:45:42.033	230.724	230.311	231.525	0.011	399.254	399.700	400.545	33.019	23.849	34.300	31.771	-12100.627	13015.204	17771.346	50.022	-0.093
03.11.2022	14:45:42.043	230.665	230.075	231.205	0.011	399.104	399.076	400.250	33.037	24.692	35.433	31.871	-10115.260	13287.582	16699.650	50.020	0.239
03.11.2022	14:45:42.053	230.802	230.180	231.298	0.011	399.334	399.214	400.463	32.638	25.293	34.626	32.024	-9874.684	14512.526	17553.428	50.021	0.012
03.11.2022	14:45:42.063	230.602	230.018	231.158	0.011	399.003	398.980	400.158	34.147	25.183	35.534	32.231	-11665.723	14085.141	18288.801	50.016	-0.074
03.11.2022	14:45:42.073	230.685	230.250	231.321	0.011	399.266	399.384	400.320	32.955	25.855	36.320	32.836	-9748.824	14054.926	17104.984	50.013	-0.178
03.11.2022	14:45:42.083	230.812	230.161	231.469	0.011	399.220	399.379	400.693	33.297	25.146	35.166	31.695	-11039.154	14549.674	18263.514	50.013	-0.369
03.11.2022	14:45:42.093	230.794	230.062	231.230	0.011	399.228	399.004	400.443	34.161	25.579	36.326	32.277	-11798.511	14002.396	18310.432	50.007	-0.167
03.11.2022	14:45:42.103	231.022	230.572	231.601	0.011	399.869	399.892	400.835	32.721	25.823	35.587	33.143	-8798.900	14229.976	16730.596	50.007	-0.338
03.11.2022	14:45:42.113	230.998	230.485	231.764	0.011	399.657	399.993	401.036	33.755	24.498	34.921	32.304	-11672.246	14518.948	18629.041	50.006	-0.323
03.11.2022	14:45:42.123	231.075	230.425	231.628	0.011	399.754	399.714	401.014	33.558	24.777	35.535	32.919	-9842.548	13552.942	16749.865	50.002	-0.031
03.11.2022	14:45:42.133	231.361	230.604	231.820	0.010	400.150	399.993	401.478	32.586	25.355	33.935	32.563	-9455.738	14862.144	17615.172	50.002	-0.246
03.11.2022	14:45:42.143	231.298	230.522	231.724	0.011	400.047	399.844	401.312	33.084	25.100	34.518	31.849	-10896.673	13631.651	17451.629	49.996	-0.226
03.11.2022	14:45:42.153	231.376	230.850	231.931	0.011	400.434	400.386	401.442	31.515	25.271	34.840	33.144	-8550.636	14065.113	16460.277	49.994	-0.280
03.11.2022	14:45:42.163	231.463	230.796	232.138	0.011	400.343	400.499	401.836	33.146	24.359	33.886	33.290	-10788.027	14433.791	18019.873	49.994	-0.401
03.11.2022	14:45:42.173	231.526	230.767	231.983	0.011	400.445	400.270	401.752	33.517	24.417	34.877	33.169	-11110.957	12898.087	17023.924	49.987	-0.103
03.11.2022	14:45:42.183	231.831	231.339	232.394	0.011	401.213	401.242	402.243	30.941	24.875	34.312	33.101	-8729.914	13457.959	16041.448	49.987	-0.325
03.11.2022	14:45:42.193	231.784	231.219	232.493	0.011	400.972	401.254	402.357	32.660	23.530	33.800	32.244	-11728.066	13439.341	17837.137	49.989	-0.342
03.11.2022	14:45:42.203	231.803	231.103	232.291	0.011	400.975	400.870	402.219	32.743	24.373	34.860	32.537	-9988.684	13448.320	16752.047	49.987	0.082
03.11.2022	14:45:42.213	232.005	231.244	232.415	0.011	401.304	401.051	402.517	31.836	24.337	33.561	32.344	-9431.876	13781.492	16699.994	49.989	-0.027
03.11.2022	14:45:42.223	231.840	231.133	232.283	0.011	401.081	400.869	402.217	32.724	23.690	33.809	32.619	-10993.822	13095.855	17098.701	49.986	-0.003
03.11.2022	14:45:42.233	231.869	231.400	232.481	0.011	401.305	401.384	402.334	31.443	24.470	33.948	33.779	-8874.364	12933.393	15685.247	49.985	-0.049
03.11.2022	14:45:42.243	231.924	231.283	232.606	0.011	401.148	401.359	402.623	31.898	23.891	33.257	32.564	-10780.312	13786.066	17500.592	49.987	-0.177
03.11.2022	14:45:42.253	231.838	231.128	232.282	0.011	401.061	400.845	402.247	32.467	23.747	35.234	32.480	-11492.176	12373.749	16887.268	49.983	0.053
03.11.2022	14:45:42.263	231.978	231.566	232.568	0.011	401.565	401.605	402.480	30.999	23.918	34.381	33.518	-8780.433	12842.535	15557.207	49.987	-0.108
03.11.2022	14:45:42.273	231.835	231.351	232.596	0.011	401.123	401.500	402.453	32.440	23.158	33.422	32.422	-11780.532	12885.586	17459.074	49.990	-0.004
03.11.2022	14:45:42.283	231.755	231.140	232.290	0.011	400.954	400.950	402.138	32.159	24.055	34.468	32.024	-9960.399	12726.752	16161.057	49.989	0.353
03.11.2022	14:45:42.293	231.817	231.137	232.273	0.011	401.045	400.880	402.191	31.697	24.614	33.845	31.881	-9929.457	14073.501	17223.748	49.994	0.140
03.11.2022	14:45:42.303	231.500	230.861	231.991	0.011	400.535	400.423	401.642	33.216	24.287	34.315	32.143	-11311.713	13041.863	17263.982	49.994	0.204
03.11.2022	14:45:42.313	231.443	231.008	232.069	0.010	400.587	400.710	401.592	31.872	24.849	34.553	32.863	-9403.043	13171.471	16183.476	49.994	0.228
03.11.2022	14:45:42.323	231.414	230.780	232.074	0.010	400.291	400.454	401.710	32.387	24.105	34.159	31.849	-10999.789	13779.049	17631.152	49.996	0.008
03.11.2022	14:45:42.333	231.245	230.589	231.690	0.011	400.098	399.879	401.188	33.332	24.549	35.943	32.444	-11694.285	13161.841	17606.543	49.993	0.088
03.11.2022	14:45:42.343	231.331	230.879	231.952	0.011	400.356	400.522	401.389	32.177	26.262	35.204	32.952	-9358.150	14384.391	17160.584	49.996	-0.081
03.11.2022	14:45:42.353	231.162	230.611	231.949	0.010	399.842	400.334	401.332	32.979	25.392	34.377	31.135	-11872.697	13599.928	18053.227	49.999	0.019
03.11.2022	14:45:42.363	231.073	230.497	231.651	0.010	399.795	399.860	400.985	32.800	24.783	35.611	31.236	-10570.264	13321.198	17005.434	49.999	0.340
03.11.2022	14:45:42.373	231.171	230.549	231.706	0.010	399.955	399.908	401.134	32.521	24.874	34.390	31.869	-9828.518	14217.038	17283.631	50.004	0.152
03.11.2022	14:45:42.383	230.927	230.379	231.472	0.010	399.622	399.577	400.675	33.828	24.375	34.924	32.240	-11501.277	13625.734	17830.873	50.002	0.218
03.11.2022	14:45:42.393	230.905	230.557	231.575	0.010	399.745	399.914	400.662	32.952	25.338	35.165	33.244	-9220.071	13887.836	16669.783	50.002	0.146
03.11.2022	14:45:42.403	230.957	230.375	231.688	0.010	399.524	399.819	400.952	33.644	25.293	34.121	32.389	-11044.428	14494.219	18222.563	50.005	-0.081
03.11.2022	14:45:42.413	230.911	230.257	231.433	0.011	399.473	399.414	400.680	33.774	25.287	35.222	32.412	-11195.841	13032.378	17181.086	50.000	0.121
03.11.2022	14:45:42.423	231.129	230.788	231.888	0.011	400.081	400.430	401.143	31.684	25.620	34.468	33.711	-8902.412	13345.373	16042.191	50.003	-0.097
03.11.2022	14:45:42.433	231.064	230.666	231.992	0.011	399.819	400.452	401.240	33.440	24.340	34.086	33.143	-11915.798	13480.844	17992.203	50.006	-0.089
03.11.2022	14:45:42.443	231.079	230.524	231.711	0.011	399.827	399.940	401.035	33.641	24.989	35.562	33.078	-10352.855	13622.947	17110.414	50.006	0.276
03.11.2022	14:45:42.453	231.262	230.621	231.797	0.011	400.089	400.042	401.306	33.014	25.568	34.667	32.784	-9865.105	14528.262	17561.057	50.010	0.139
03.11.2022	14:45:42.463	231.058	230.438	231.581	0.011	399.762	399.708	400.921	33.917	25.512	35.192	32.149	-11304.649	14244.179	18184.932	50.007	0.193
03.11.2022	14:45:42.473	231.086	230.634	231.711	0.011	399.948	400.059	400.999	32.636	26.039	35.567	32.621	-9066.558	14146.506	16802.563	50.006	0.086
03.11.2022	14:45:42.483	231.181	230.523	231.838	0.011	399.858	400.021	401.319	33.176	25.191	34.208	31.976	-10373.353	14667.952	17965.391	50.006	-0.175
03.11.2022	14:45:42.493	231.180	230.452	231.616	0.010	399.898	399.688	401.103	33.667	25.610	35.576	32.421	-11253.313	13691.634	17722.807	50.000	-0.039
03.11.2022	14:45:42.503	231.433	230.997	232.034	0.011	400.575	400.655	401.565	32.121	25.879	35.401	33.021	-9054.138	14048.031	16713.008	50.001	-0.283
03.11.2022	14:45:42.513	231.394	230.892	232.165	0.011	400.343	400.712	401.717	33.813	24.652	35.335	32.113	-12410.493	14192.373	18853.217	50.001	-0.293
03.11.2022	14:45:42.523	231.418	230.757	231.962	0.011	400.333	400.307	401.586	34.129	25.236	36.074	32.805	-10519.196	13708.160	17279.096	49.998	0.015
03.11.2022	14:45:42.533	231.631	230.884	232.080	0.011	400.661	400.465	401.896	33.289	25.393	34.506	32.860	-9932.722	14656.236	17704.920	49.999	-0.132
03.11.2022	14:45:42.543	231.483	230.765	231.917	0.011	400.454	400.221	401.601	33.931	24.636	34.904	32.609	-11201.288	13687.679	17686.758	49.995	-0.063
03.11.2022	14:45:42.553	231.527	231.003	232.075	0.011	400.686	400.648	401.704	32.367	25.382	34.968	33.368	-8816.601	14087.871	16619.283	49.992	-0.298
03.11.2022	14:45:42.563	231.611	230.864	232.178	0.011	400.554	400.568	402.002	33.001	24.992	34.064	32.344	-10766.306	14503.381	18062.707	49.991	-0.419
03.11.2022	14:45:42.573	231.588	230.764	231.936	0.011	400.548	400.184	401.757	33.245	24.861	35.421	32.390	-11046.768	13258.549	17257.467	49.984	-0.419
03.11.2022	14:45:42.583	231.810	231.313	232.340	0.011	401.210	401.155	402.162	31.376	24.819	34.556	33.263	-8755.240	13394.156	16001.802	49.984	-0.383
03.11.2022	14:45:42.593	231.734	231.209	232.450	0.012	400.934	401.224	402.246	33.027	23.598	33.654	32.566	-11801.100	13446.604	17890.699	49.984	-0.357
03.11.2022	14:45:42.603	231.714	231.082	232.215	0.011	400.884	400.814	402.044	33.240	24.448	35.065	32.320	-10448.967	13575.390	17131.027	49.983	0.004
03.11.2022	14:45:42.613	231.887	231.192	232.317	0.011	401.165	400.948	402.297	32.666	24.518	34.300	32.048	-10132.258	14045.303	17318.580	49.986	-0.039
03.11.2022	14:45:42.623	231.709	231.059	232.191	0.011	400.899	400.753	402.000	33.633	23.739	34.593	32.580	-11698.310	12968.701	17465.326	49.983	0.071
03.11.2022	14:45:42.633	231.730	231.272	232.334	0.011	401.072	401.154	402.080	31.929	24.331	34.520	33.267	-9215.684	12913.198	15864.410	49.984	0.006
03.11.2022	14:45:42.643	231.737	231.081	232.376	0.011	400.828	400.987	402.244	31.957	24.095	32.951	31.823	-10475.251	13669.749	17221.873	49.987	-0.115
03.11.2022	14:45:42.653	231.603	230.920	232.058	0.011	400.682	400.513	401.801	32.763	24.129	33.818	32.419	-10883.031	12307.421	16429.027	49.987	0.172
03.11.2022	14:45:42.663	231.750	231.381	232.366	0.011	401.190	401.318	402.077	30.933	24.411	33.216	33.262	-8244.298	12828.344	15249.093	49.987	-0.006
03.11.2022	14:45:42.673	231.596	231.150	232.206	0.011	400.778	400.951	401.905	31.806	23.717	34.979	30.375	-11688.440	14449.238	18584.943	49.990	-0.001
03.11.2022	14:45:42.683	231.495	230.967	231.961	0.011	400.612	400.497	401.611	32.062	24.383	36.647	30.880	-10288.057	12759.627	16390.613	49.992	0.344
03.11.2022	14:45:42.693	231.584	231.012	232.154	0.010	400.709	400.726	401.856	32.249	24.614	34.116	32.544	-10389.720	13724.020	17213.221	49.998	0.248
03.11.2022	14:45:42.703	231.302	230.770	231.882	0.010	400.269	400.301	401.341	33.881	24.313	34.930	32.497	-11930.438	13251.935	17831.127	49.998	0.380
03.11.2022	14:45:42.713	231.258	230.959	231.987	0.010	400.372	400.657	401.316	32.495	24.933	35.181	33.211	-9434.982	13099.322	16143.454	50.002	0.376
03.11.2022	14:45:42.723	231.252	230.748	232.025	0.010	400.091	400.459	401.483	32.808	24.232	33.864	32.214	-10820.887	13790.762	17529.309	50.007	0.203
03.11.2022	14:45:42.733	231.136	230.576	231.700	0.010	399.937	399.959	401.077	33.082	24.986	35.325	32.118	-11126.834	12958.869	17080.361	50.006	0.390
03.11.2022	14:45:42.743	231.259	231.015	232.006	0.011	400.411	400.757	401.309	31.445	25.658	34.668	32.762	-8787.292	13348.701	15981.374	50.011	0.202
03.11.2022	14:45:42.753	231.087	230.807	232.029	0.011	399.967	400.648	401.244	33.341	24.498	34.210	32.071	-11998.459	13511.457	18069.934	50.017	0.212
03.11.2022	14:45:42.763	231.007	230.607	231.713	0.011	399.821	400.082	400.924	33.807	25.296	36.007	32.269	-10782.651	13594.509	17351.549	50.020	0.569
03.11.2022	14:45:42.773	231.102	230.624	231.727	0.011	399.941	400.057	401.045	33.689	25.922	35.626	32.032	-10626.853	14833.471	18247.242	50.026	0.460
03.11.2022	14:45:42.783	230.843	230.373	231.467	0.011	399.509	399.630	400.572	35.216	25.886	36.241	32.068	-12155.488	14182.953	18679.188	50.026	0.442
03.11.2022	14:45:42.793	230.819	230.492	231.529	0.011	399.582	399.848	400.552	33.819	26.433	36.530	32.729	-9855.168	14168.449	17258.891	50.027	0.289
03.11.2022	14:45:42.803	230.824	230.254	231.543	0.011	399.317	399.579	400.706	34.392	25.908	35.396	31.992	-11095.467	15080.221	18722.244	50.029	0.059
03.11.2022	14:45:42.813	230.714	230.074	231.201	0.011	399.181	399.039	400.288	35.039	26.431	36.194	32.715	-11099.043	14254.000	18065.582	50.023	0.137
03.11.2022	14:45:42.823	230.887	230.541	231.538	0.011	399.716	399.874	400.610	33.411	27.029	35.612	33.276	-8812.266	14997.018	17394.441	50.023	-0.197
03.11.2022	14:45:42.833	230.817	230.391	231.636	0.011	399.408	399.868	400.714	34.854	25.928	35.374	32.143	-11741.714	14934.539	18997.586	50.023	-0.274
03.11.2022	14:45:42.843	230.879	230.306	231.493	0.011	399.460	399.569	400.674	34.836	26.583	36.376	32.650	-10562.118	14456.253	17903.676	50.020	-0.013
03.11.2022	14:45:42.853	231.140	230.502	231.679	0.011	399.875	399.853	401.087	34.088	26.395	35.322	32.501	-10379.795	14860.761	18126.840	50.020	-0.189
03.11.2022	14:45:42.863	231.000	230.390	231.522	0.011	399.684	399.613	400.807	34.715	25.563	35.877	32.193	-11531.646	14408.236	18454.705	50.017	-0.139
