Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 12.07.2022	07:55:09.000 - 12.07.2022	13:34:52.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
12.07.2022	13:24:44.765	229.393	230.081	231.149	0.005	397.383	399.535	399.213	46.472	52.573	64.416	20.426	-37195.477	2686.453	37292.363	50.001	1.130
12.07.2022	13:24:44.775	229.622	230.312	231.260	0.005	397.848	399.793	399.479	45.577	51.973	64.218	20.909	-36786.977	3215.844	36927.270	50.007	0.962
12.07.2022	13:24:44.785	229.271	230.092	231.075	0.005	397.300	399.532	398.980	46.401	52.237	63.878	20.382	-37421.004	3035.734	37543.938	50.021	1.010
12.07.2022	13:24:44.795	229.144	230.194	231.011	0.006	397.302	399.646	398.708	46.497	52.273	64.349	20.578	-37105.277	2857.267	37215.125	50.039	1.167
12.07.2022	13:24:44.805	229.179	230.007	231.105	0.006	397.073	399.521	398.961	46.049	52.406	63.875	20.547	-36976.512	3618.876	37153.180	50.039	0.890
12.07.2022	13:24:44.815	228.912	229.669	230.638	0.006	396.642	398.750	398.308	46.639	52.781	64.518	20.303	-37736.586	3016.427	37856.953	50.052	1.060
12.07.2022	13:24:44.825	229.012	230.215	230.901	0.005	397.228	399.625	398.421	46.113	51.936	64.188	20.244	-36374.473	2884.992	36488.703	50.066	0.875
12.07.2022	13:24:44.835	228.845	230.008	231.072	0.006	396.699	399.691	398.533	46.198	52.220	63.407	19.595	-37486.023	3260.488	37627.551	50.080	0.728
12.07.2022	13:24:44.845	228.667	229.572	230.543	0.005	396.301	398.677	397.965	46.463	52.957	64.615	19.862	-37301.473	2655.991	37395.910	50.086	1.197
12.07.2022	13:24:44.855	228.814	229.736	230.553	0.005	396.658	398.784	398.057	45.796	52.346	64.582	20.452	-36906.063	3412.024	37063.449	50.099	0.999
12.07.2022	13:24:44.865	228.430	229.439	230.310	0.005	396.004	398.388	397.506	46.658	52.491	64.283	19.950	-37470.301	3377.514	37622.215	50.107	0.927
12.07.2022	13:24:44.875	228.295	229.409	230.125	0.005	395.909	398.220	397.162	46.754	52.651	64.612	19.894	-37178.582	3177.947	37314.156	50.111	1.012
12.07.2022	13:24:44.885	228.345	229.238	230.221	0.006	395.723	398.104	397.423	46.265	52.590	64.179	20.041	-36928.473	4006.133	37145.137	50.119	0.606
12.07.2022	13:24:44.895	228.081	228.843	229.748	0.006	395.241	397.253	396.794	46.919	52.941	64.709	20.051	-37735.355	3435.808	37891.449	50.119	0.625
12.07.2022	13:24:44.905	228.199	229.324	229.941	0.006	395.814	397.960	396.887	46.598	52.284	64.526	20.098	-36546.852	3450.866	36709.410	50.121	0.399
12.07.2022	13:24:44.915	228.097	229.168	230.154	0.006	395.396	398.090	397.097	46.847	52.554	63.843	19.658	-37580.406	3879.176	37780.090	50.126	0.121
12.07.2022	13:24:44.925	228.008	228.728	229.675	0.005	395.064	397.075	396.695	47.026	53.307	64.946	20.101	-37370.766	3545.802	37538.602	50.121	0.355
12.07.2022	13:24:44.935	228.260	228.993	229.785	0.005	395.597	397.357	396.969	46.342	52.609	64.780	20.607	-36918.719	4121.116	37148.020	50.123	0.001
12.07.2022	13:24:44.945	228.020	228.867	229.736	0.005	395.201	397.296	396.706	47.130	52.473	64.402	20.215	-37402.730	4083.178	37624.945	50.120	-0.149
12.07.2022	13:24:44.955	228.043	228.946	229.687	0.005	395.343	397.311	396.641	47.074	52.565	64.827	20.503	-37198.883	3624.345	37375.027	50.115	-0.054
